deploymentID,locationID,latitude,longitude,in_conservador,in_laxo,delta_in,interpretacion,pct_arbustal,pct_construcciones_rurales,pct_cultivos_permanentes_herbaceos,pct_humedales_y_zonas_pantanosas,"pct_lagunas,_lagos_y_cienagas_naturales",pct_pastos_arbolados,pct_pastos_enmalezados,pct_pastos_limpios,pct_plantacion_forestal,"pct_red_vial,_ferroviaria_y_terrenos_asociados",pct_rios_quebradas_y_rondas,pct_tejido_urbano_continuo,pct_tejido_urbano_discontinuo,pct_tierras_desnudas_y_degradadas,pct_vegetacion_acuatica_sobre_cuerpo_de_agua,pct_zonas_industriales_o_comerciales,pct_zonas_verdes_urbanas_y_rurales
PAO202,EN-p01,4.5235757,-74.0966973,0.8978,0.8978,0.0,Natural,79.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH23,EN-p02,4.5253184,-74.0970844,1.0,1.0,0.0,Natural,99.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH08,EN-p04,4.5307834,-74.1003858,0.4757,0.5565,0.0808,Seminatural,35.976,0.0,0.0,0.0,0.0,0.0,18.761,32.324,4.421,0.0,0.0,0.0,0.0,8.518,0.0,0.0,0.0
PAH108,EN-p05,4.5305471,-74.1014566,0.1954,0.2687,0.0733,Transformado,3.403,0.0,0.0,0.0,0.0,0.0,9.143,29.299,23.14,0.0,0.0,0.0,0.0,35.016,0.0,0.0,0.0
PAH112,EN-p03,4.5302395,-74.1026633,0.238,0.3158,0.0778,Transformado,0.0,0.0,0.0,0.0,0.0,17.224,0.0,31.109,30.377,0.0,0.0,0.0,0.0,21.291,0.0,0.0,0.0
PAH113,EN-p09,4.4951499,-74.0912224,0.3031,0.4068,0.1037,Transformado,2.084,0.0,0.0,0.0,0.0,0.0,0.0,41.459,56.458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH79,EN-p11,4.5282596,-74.0971892,0.8656,0.8656,0.0,Natural,73.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH203,EN-p06,4.5341278,-74.099138,0.9568,0.9568,0.0,Natural,91.369,0.0,0.0,0.0,0.0,0.0,8.631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH05,EN-p07,4.5420861,-74.0959452,0.0,0.1511,0.1511,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.448,0.0,0.0,0.0,28.714,0.0,0.0,0.0,10.838,0.0
PAH86,EN-p08,4.5436631,-74.10015933,0.41,0.5575,0.1475,Seminatural,41.004,0.0,0.0,0.0,0.0,0.0,0.0,58.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH07,EN-p10,4.4974657,-74.0903327,0.3002,0.3814,0.0812,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,6.778,32.463,53.262,0.0,0.0,7.497,0.0,0.0,0.0,0.0,0.0
PAH11,TN-p02,4.57343,-74.1424683,0.5485,0.6489,0.1004,Seminatural,0.0,0.0,0.0,46.432,0.0,0.0,0.0,40.139,0.0,5.01,8.419,0.0,0.0,0.0,0.0,0.0,0.0
PAH77,TN-p01,4.5707558,-74.1426487,0.233,0.3222,0.0892,Transformado,0.0,0.0,0.0,18.254,0.0,0.0,0.0,35.698,0.0,0.0,5.046,41.002,0.0,0.0,0.0,0.0,0.0
PAH83,TN-p03,4.57546,-74.148828,0.015,0.1091,0.0941,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.656,0.0,0.0,1.498,60.846,0.0,0.0,0.0,0.0,0.0
PAH93,TN-p04,4.5779784,-74.1494084,0.1209,0.3307,0.2098,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.943,0.0,0.0,12.088,2.169,0.0,0.0,0.0,1.799,0.0
PAH109,TG-p01,4.80832986508877,-74.0427003800869,0.7135,0.7135,0.0,Natural,0.0,0.0,28.653,71.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH88,TG-p02,4.8035917,-74.041682,0.5468,0.5468,0.0,Seminatural,0.0,0.0,45.324,54.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH85,TG-p03,4.78520600811925,-74.0389556810259,0.4417,0.4417,0.0,Seminatural,0.0,55.833,0.0,44.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH24,TG-p04,4.7874131,-74.0390698,0.4401,0.4401,0.0,Seminatural,0.0,55.493,0.0,44.013,0.0,0.0,0.0,0.0,0.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH104,LV-p01,4.6302451,-74.1626172,0.4587,0.4587,0.0,Seminatural,0.0,0.0,0.0,45.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.272,0.0,0.0,0.0,52.854,0.0
PAH107,LV-p02,4.6242444,-74.1660088,0.0,0.0,0.0,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
PAH27,JAT-p01,4.7281146882282,-74.1090743243694,0.7675,0.789,0.0215,Natural,0.0,0.0,0.0,61.602,0.0,0.0,0.0,8.596,0.0,0.0,0.493,0.0,0.0,0.0,0.0,0.0,29.309
PAH20,JAT-p02,4.7260762,-74.1063456,0.907,0.907,0.0,Natural,0.0,0.0,0.0,73.243,0.0,0.0,0.0,0.0,0.0,0.0,8.157,0.0,0.0,0.0,0.0,0.0,18.6
PAH16,JAT-p03,4.7225932,-74.1042157,0.5883,0.6639,0.0756,Seminatural,0.0,0.0,0.0,44.187,0.0,0.0,0.0,30.232,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,21.871
PAH14,JAT-p04,4.718235,-74.0991667,0.7469,0.7469,0.0,Natural,0.0,0.0,0.0,36.78,0.0,0.0,0.0,0.0,0.0,0.0,11.49,15.084,0.0,0.0,16.195,0.0,20.451
PAH105,CD-p02,4.7028417,-74.076535,0.9925,0.9925,0.0,Natural,0.0,0.0,0.0,99.253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.747,0.0,0.0,0.0,0.0,0.0
PAH450,CD-p01,4.711339,-74.0645002,0.78,0.78,0.0,Natural,0.0,0.0,0.0,77.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.431,13.57,0.0,0.0,0.0,0.0
PAH22,TB-p02,4.60458233987592,-74.2043333128094,0.444,0.583,0.139,Seminatural,0.0,0.0,0.0,44.403,0.0,0.0,0.0,55.597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAH96,TB-p01,4.60153348138952,-74.2025831714272,0.4431,0.5771,0.134,Seminatural,0.0,0.0,0.0,44.308,0.0,0.0,0.0,53.608,0.0,0.0,0.0,0.334,0.0,0.0,0.0,0.0,0.0
PAH111,TA-p02,4.60620418155827,-74.1598156839609,0.47,0.47,0.0,Seminatural,0.0,0.0,0.0,0.0,0.0,0.156,0.0,0.0,68.901,0.0,4.802,0.0,10.794,0.0,0.0,0.0,15.346
PAH80,TA-p01,4.60711886789015,-74.1633726283907,0.5197,0.5197,0.0,Seminatural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.425,0.0,3.943,0.0,0.0,0.0,0.0,0.0,40.632
PAH31,TA-p03,4.60250231331636,-74.1587478294968,0.3345,0.3345,0.0,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.109,0.0,0.0,0.0,0.0,66.891
PAH63,TA-p04,4.60268311278139,-74.1551372408866,0.1679,0.1934,0.0255,Transformado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.193,0.0,0.0,4.647,60.87,0.0,0.0,0.0,0.0,24.289
PAH75,SM-p02,4.69575761783528,-74.0939708054065,0.7636,0.7636,0.0,Natural,0.0,0.0,0.0,26.084,29.007,0.0,0.0,0.0,0.0,0.0,0.0,23.64,0.0,0.0,21.27,0.0,0.0
PAH74,SM-p01,4.6930933,-74.0946676,0.6821,0.6821,0.0,Seminatural,0.0,0.0,0.0,30.544,22.357,0.0,0.0,0.0,0.0,0.0,0.0,31.786,0.0,0.0,15.312,0.0,0.0
