scientificName,count
Accipiter striatus,20
Penelope purpurascens,20
Nycticorax nycticorax,20
Orochelidon murina,20
Pandion haliaetus,20
Parkesia motacilla,20
Parkesia noveboracensis,20
Passer domesticus,20
Patagioenas fasciata,20
Patagioenas subvinacea,20
Penelope montagnii,20
Petrochelidon pyrrhonota,20
Numenius phaeopus,20
Phacellodomus rufifrons,20
Pheucticus aureoventris,20
Pheucticus ludovicianus,20
Piranga flava,20
Piranga olivacea,20
Piranga rubra,20
Pluvialis squatarola,20
Podilymbus podiceps,20
Porzana carolina,20
Nyctibius griseus,20
Nothocercus julius,20
Acropternis orthonyx,20
Metallura tyrianthina,20
Leptotila verreauxi,20
Lesbia nuna,20
Lesbia victoriae,20
Lophotriccus pileatus,20
Mecocerculus leucophrys,20
Mecocerculus stictopterus,20
Megarynchus pitangua,20
Megascops choliba,20
Melanerpes formicivorus,20
Micrastur semitorquatus,20
Myrmeciza longipes,20
Milvago chimachima,20
Mimus gilvus,20
Molothrus bonariensis,20
Myiarchus crinitus,20
Myiodynastes luteiventris,20
Myiothlypis coronata,20
Myiothlypis fulvicauda,20
Myiothlypis nigrocristata,20
Myiozetetes cayanensis,20
Pygochelidon cyanoleuca,20
Pyrocephalus rubinus,20
Pyrrhomyias cinnamomeus,20
Tringa solitaria,20
Tangara chilensis,20
Tapera naevia,20
Thlypopsis superciliaris,20
Thraupis episcopus,20
Thraupis palmarum,20
Tiaris olivaceus,20
Todirostrum cinereum,20
Tringa flavipes,20
Tringa melanoleuca,20
Troglodytes aedon,20
Quiscalus lugubris,20
Turdus fuscater,20
Tyrannus dominicensis,20
Tyrannus melancholicus,20
Tyrannus tyrannus,20
Tyto alba,20
Vanellus chilensis,20
Vireo olivaceus,20
Zenaida auriculata,20
Zimmerius chrysops,20
Systellura longirostris,20
Synallaxis subpudica,20
Sturnella magna,20
Steatornis caripensis,20
Rallus semiplumbeus,20
Ramphocelus flammigerus,20
Rupornis magnirostris,20
Sayornis nigricans,20
Scytalopus griseicollis,20
Scytalopus spillmanni,20
Setophaga ruticilla,20
Setophaga striata,20
Sicalis flaveola,20
Sicalis luteola,20
Spatula discors,20
Spinus magellanicus,20
Spinus psaltria,20
Spinus spinescens,20
Spinus xanthogastrus,20
Sporophila crassirostris,20
Sporophila luctuosa,20
Sporophila minuta,20
Sporophila nigricollis,20
Legatus leucophaius,20
Ictinia mississippiensis,20
Icterus spurius,20
Chordeiles minor,20
Camptostoma obsoletum,20
Catamenia analis,20
Catamenia inornata,20
Catharus minimus,20
Catharus ustulatus,20
Chaetocercus mulsant,20
Chaetura pelagica,20
Chlidonias niger,20
Chlorophanes spiza,20
Chrysomus icterocephalus,20
Colibri delphinae,20
Ciccaba albitarsis,20
Ciccaba virgata,20
Cinnycerthia olivascens,20
Cistothorus apolinari,20
Cistothorus platensis,20
Coccyzus americanus,20
Coereba flaveola,20
Colaptes rivolii,20
Colibri coruscans,20
Calidris alba,20
Cacicus chrysonotus,20
Buteo platypterus,20
Buteo brachyurus,20
Actitis macularius,20
Adelomyia melanogenys,20
Amazilia tzacatl,20
Amazona ochrocephala,20
Anhinga anhinga,20
Anisognathus igniventris,20
Anisognathus lacrymosus,20
Ardea herodias,20
Arenaria interpres,20
Arremon assimilis,20
Arremon brunneinucha,20
Arremonops conirostris,20
Asio clamator,20
Atlapetes albinucha,20
Atlapetes albofrenatus,20
Atlapetes latinuchus,20
Atlapetes pallidinucha,20
Atlapetes schistaceus,20
Bubo virginianus,20
Colibri cyanotus,20
Columba livia,20
Icterus galbula,20
Geothlypis aequinoctialis,20
Euphonia chlorotica,20
Falco columbarius,20
Falco sparverius,20
Formicivora grisea,20
Forpus conspicillatus,20
Fulica americana,20
Gallinago nobilis,20
Gallinula galeata,20
Gampsonyx swainsonii,20
Geothlypis philadelphia,20
Conirostrum rufum,20
Grallaria nuchalis,20
Grallaria quitensis,20
Grallaria ruficapilla,20
Grallaria squamigera,20
Haplophaedia aureliae,20
Herpetotheres cachinnans,20
Hirundo rustica,20
Hydropsalis cayennensis,20
Icterus chrysater,20
Empidonax virescens,20
Empidonax traillii,20
Empidonax alnorum,20
Elanus leucurus,20
Contopus cinereus,20
Contopus cooperi,20
Contopus fumigatus,20
Contopus sordidulus,20
Contopus virens,20
Coragyps atratus,20
Crypturellus cinereus,20
Cyanocorax yncas,20
Cyphorhinus thoracicus,20
Dendrocincla tyrannina,20
Dendrocygna autumnalis,20
Diglossa albilatera,20
Diglossa caerulescens,20
Diglossa cyanea,20
Diglossa humeralis,20
Diglossa sittoides,20
Egretta caerulea,20
Elaenia frantzii,20
Elaenia parvirostris,20
Zonotrichia capensis,20
